CNPJ;Ano;Trimestre;ValorDespesas
316849;2024;2T2024;15350862.700000001
316849;2024;3T2024;23964443.46
316849;2024;4T2024;33807034.55
316873;2024;2T2024;403611834.34
316873;2024;3T2024;601400463.37
316873;2024;4T2024;765115548.38
316881;2024;2T2024;373335402.51
316881;2024;3T2024;566000545.41
316881;2024;4T2024;752959435.12
316903;2024;2T2024;1799476.09
316903;2024;3T2024;2371559.72
316903;2024;4T2024;2129407.91
316997;2024;2T2024;17220046.23
316997;2024;3T2024;25301524.66
316997;2024;4T2024;33587002.02
317012;2024;2T2024;166327337.37
317012;2024;3T2024;242825957.78
317012;2024;4T2024;321405428.61
317144;2024;2T2024;7058909579.18
317144;2024;3T2024;10434119253.34
317144;2024;4T2024;13581970351.85
317233;2024;2T2024;1176025034.3500001
317233;2024;3T2024;1525038771.86
317233;2024;4T2024;1890011902.61
317632;2024;2T2024;825974088.73
317632;2024;3T2024;1237907436.66
317632;2024;4T2024;1650423555.05
317896;2024;2T2024;180767938.25
317896;2024;3T2024;219963693.91
317896;2024;4T2024;319180758.94
318035;2024;2T2024;145462038.8
318035;2024;3T2024;200436499.54
318035;2024;4T2024;261022495.26
318213;2024;2T2024;165894164.01
318213;2024;3T2024;250987588.46
318213;2024;4T2024;331318020.55
318299;2024;2T2024;587827197.96
318299;2024;3T2024;890026765.58
318299;2024;4T2024;1227529154.66
318388;2024;2T2024;342380889.87
318388;2024;3T2024;443485516.72
318388;2024;4T2024;623676843.72
318477;2024;2T2024;262194207.27
318477;2024;3T2024;398657610.19
318477;2024;4T2024;562274704.98
318566;2024;2T2024;263913071.13
318566;2024;3T2024;452384512.36
318566;2024;4T2024;617247347.51
319121;2024;2T2024;1719019112.1100001
319121;2024;3T2024;2556705047.15
319121;2024;4T2024;3306315429.44
319180;2024;2T2024;162785955.71
319180;2024;3T2024;232737426.64999998
319180;2024;4T2024;305197013.68
319350;2024;4T2024;9972451.81
319384;2024;2T2024;488224893.06
319384;2024;3T2024;714772094.34
319384;2024;4T2024;963056395.93
319422;2024;2T2024;203794449.64000002
319422;2024;3T2024;312891961.45
319422;2024;4T2024;411600862.65999997
319708;2024;2T2024;823363363.3
319708;2024;3T2024;1218458056.6299999
319708;2024;4T2024;1589331083.8
319872;2024;2T2024;16152594.41
319872;2024;3T2024;20138044.06
319872;2024;4T2024;23693742.349999998
319996;2024;2T2024;3723830063.67
319996;2024;3T2024;5351950520.97
319996;2024;4T2024;6960100539.61
320251;2024;2T2024;639621928.8100001
320251;2024;3T2024;639621928.8100001
320251;2024;4T2024;1197034266.32
320510;2024;2T2024;236556506.0
320510;2024;3T2024;321078849.82
320510;2024;4T2024;390124820.05
320706;2024;2T2024;1008824827.03
320706;2024;3T2024;1515795241.83
320706;2024;4T2024;2002728684.3100002
320820;2024;2T2024;130601890.23
320820;2024;3T2024;197034724.89000002
320820;2024;4T2024;254626634.66
320838;2024;2T2024;28160761.45
320838;2024;3T2024;42897132.95999999
320838;2024;4T2024;56712177.44
320862;2024;2T2024;300528604.14
320862;2024;3T2024;445968674.54
320862;2024;4T2024;582815310.97
320897;2024;2T2024;204309891.13
320897;2024;3T2024;321967808.12
320897;2024;4T2024;440554833.69
321044;2024;2T2024;2489884775.64
321044;2024;3T2024;3786307097.88
321044;2024;4T2024;5048420680.17
321087;2024;2T2024;158786829.24
321087;2024;3T2024;235717493.93
321087;2024;4T2024;304631801.87
321125;2024;2T2024;47036165.44
321125;2024;3T2024;72030075.88
321125;2024;4T2024;95804030.61
321273;2024;2T2024;1695736120.8700001
321273;2024;3T2024;2544683123.77
321273;2024;4T2024;3387841694.76
321320;2024;2T2024;71683989.95
321320;2024;3T2024;109283866.98
321320;2024;4T2024;147329460.92000002
321338;2024;2T2024;108124939.37
